_time,humidity,light_lux,sound_avg,sound_db,sound_peak_to_peak,sound_raw,sound_rms,sound_voltage,temperature
2025-05-07 19:13:02.888200-04:00,44.5,4970.86,498.0,9.74,562.0,496.0,512.88,2.43,71.2
2025-05-07 19:13:06.636794-04:00,44.5,4956.8,517.0,10.11,139.0,527.0,517.88,2.53,71.2
2025-05-07 19:13:10.385505-04:00,44.4,4941.54,504.0,9.85,136.0,515.0,505.28,2.46,71.2
2025-05-07 19:13:14.130596-04:00,44.3,4925.25,506.0,9.89,135.0,514.0,507.44,2.47,71.2
2025-05-07 19:13:17.877913-04:00,44.2,4913.43,496.0,9.7,145.0,478.0,497.49,2.42,71.2
2025-05-07 19:13:21.624193-04:00,44.2,4896.95,509.0,9.95,133.0,522.0,510.31,2.49,71.2
2025-05-07 19:13:25.372312-04:00,44.1,4888.39,506.0,9.89,117.0,513.0,507.38,2.47,71.2
2025-05-07 19:13:29.119253-04:00,44.0,4875.17,510.0,9.97,126.0,526.0,511.14,2.49,71.2
2025-05-07 19:13:32.868543-04:00,44.0,4866.61,512.0,10.01,139.0,501.0,513.22,2.5,71.1
2025-05-07 19:13:36.612663-04:00,44.0,4856.84,491.0,9.6,162.0,470.0,492.5,2.4,71.1
2025-05-07 19:13:40.358673-04:00,44.0,4846.04,490.0,9.58,167.0,483.0,491.86,2.39,71.1
2025-05-07 19:13:44.106155-04:00,43.9,4834.03,510.0,9.97,142.0,529.0,511.59,2.49,71.1
2025-05-07 19:13:47.855032-04:00,43.9,4822.02,508.0,9.93,179.0,535.0,509.25,2.48,71.2
2025-05-07 19:13:51.601608-04:00,44.0,4812.25,489.0,9.56,225.0,453.0,491.81,2.39,71.1
2025-05-07 19:13:55.347561-04:00,44.0,4800.24,507.0,9.91,133.0,513.0,508.14,2.48,71.1
2025-05-07 19:13:59.094922-04:00,44.1,4788.24,504.0,9.85,125.0,498.0,504.87,2.46,71.1
2025-05-07 19:14:02.842091-04:00,44.1,4776.23,506.0,9.89,158.0,506.0,506.85,2.47,71.1
2025-05-07 19:14:06.587928-04:00,44.0,4767.66,493.0,9.64,189.0,477.0,495.51,2.41,71.1
2025-05-07 19:14:10.335829-04:00,44.0,4757.89,510.0,9.97,134.0,510.0,510.86,2.49,71.1
2025-05-07 19:14:14.082908-04:00,44.1,4749.33,501.0,9.79,137.0,462.0,501.76,2.45,71.1
2025-05-07 19:14:17.831786-04:00,44.1,4738.53,501.0,9.79,121.0,515.0,502.4,2.45,71.1
2025-05-07 19:14:26.636851-04:00,44.2,4712.64,494.0,9.66,127.0,527.0,495.7,2.41,71.1
2025-05-07 19:14:30.381564-04:00,44.2,4703.05,498.0,9.74,125.0,503.0,499.38,2.43,71.1
2025-05-07 19:14:34.148507-04:00,44.3,4690.01,482.0,9.42,190.0,547.0,484.81,2.36,71.1
2025-05-07 19:14:37.874241-04:00,44.3,4680.42,671.0,13.12,664.0,559.0,699.22,3.28,70.9
2025-05-07 19:14:41.621470-04:00,44.4,4670.82,492.0,9.62,252.0,393.0,497.69,2.4,71.1
2025-05-07 19:14:45.371698-04:00,44.3,4657.78,516.0,10.09,146.0,508.0,516.93,2.52,70.9
2025-05-07 19:14:49.115619-04:00,44.4,4650.41,514.0,10.05,152.0,515.0,515.45,2.51,70.9
2025-05-07 19:14:52.861533-04:00,44.4,4639.61,510.0,9.97,140.0,517.0,511.01,2.49,70.9
2025-05-07 19:14:56.608317-04:00,44.4,4628.8,508.0,9.93,127.0,504.0,509.07,2.48,70.9
2025-05-07 19:15:00.355785-04:00,44.5,4615.77,515.0,10.07,195.0,513.0,516.57,2.52,70.9
2025-05-07 19:15:04.103696-04:00,44.5,4606.16,508.0,9.93,176.0,524.0,509.57,2.48,70.9
2025-05-07 19:15:10.379798-04:00,44.5,4586.77,505.0,9.87,117.0,422.0,506.06,2.47,70.9
2025-05-07 19:15:14.127661-04:00,44.6,4572.71,509.0,9.95,133.0,484.0,509.97,2.49,70.9
2025-05-07 19:15:17.876101-04:00,44.5,4558.64,434.0,8.48,240.0,428.0,437.54,2.12,70.9
2025-05-07 19:15:21.620070-04:00,44.6,4543.37,506.0,9.89,118.0,517.0,507.36,2.47,70.7
2025-05-07 19:15:25.367775-04:00,44.6,4529.3,516.0,10.09,156.0,479.0,517.35,2.52,70.7
2025-05-07 19:15:29.113871-04:00,44.6,4513.01,495.0,9.68,116.0,507.0,495.9,2.42,70.7
2025-05-07 19:15:32.861865-04:00,44.5,4498.94,481.0,9.4,135.0,488.0,482.9,2.35,70.7
2025-05-07 19:15:36.608661-04:00,44.4,4481.44,500.0,9.78,116.0,513.0,501.38,2.44,70.7
2025-05-07 19:15:40.358557-04:00,44.4,4469.6,509.0,9.95,184.0,510.0,510.63,2.49,70.7
2025-05-07 19:15:44.102749-04:00,44.4,4454.33,506.0,9.89,172.0,509.0,507.39,2.47,70.7
2025-05-07 19:15:47.849812-04:00,44.5,4436.84,498.0,9.74,146.0,450.0,499.47,2.43,70.7
2025-05-07 19:15:51.597297-04:00,44.3,4425.0,511.0,9.99,132.0,515.0,512.43,2.5,70.7
2025-05-07 19:15:55.350079-04:00,44.4,4407.51,522.0,10.21,143.0,501.0,522.9,2.55,70.7
2025-05-07 19:15:59.091236-04:00,44.4,4393.43,510.0,9.97,146.0,536.0,510.66,2.49,70.5
2025-05-07 19:16:02.838340-04:00,44.4,4378.17,501.0,9.79,243.0,446.0,504.28,2.45,70.5
2025-05-07 19:16:06.587557-04:00,44.5,4362.9,506.0,9.89,123.0,458.0,507.2,2.47,70.5
2025-05-07 19:16:10.331835-04:00,44.5,4348.67,510.0,9.97,142.0,500.0,511.35,2.49,70.5
2025-05-07 19:16:14.079670-04:00,44.5,4332.21,498.0,9.74,128.0,447.0,498.98,2.43,70.5
2025-05-07 19:16:17.829449-04:00,44.6,4321.4,481.0,9.4,182.0,379.0,482.85,2.35,70.5
2025-05-07 19:16:21.572550-04:00,44.6,4304.94,489.0,9.56,145.0,518.0,490.59,2.39,70.5
2025-05-07 19:16:25.320561-04:00,44.7,4290.71,500.0,9.78,136.0,443.0,500.91,2.44,70.5
2025-05-07 19:16:29.067417-04:00,44.6,4278.7,500.0,9.78,155.0,489.0,501.59,2.44,70.5
2025-05-07 19:16:32.813440-04:00,44.6,4266.69,501.0,9.79,199.0,523.0,502.88,2.45,70.3
2025-05-07 19:16:36.560747-04:00,44.7,4253.49,499.0,9.76,137.0,487.0,499.87,2.44,70.5
2025-05-07 19:16:40.308393-04:00,44.7,4243.71,515.0,10.07,142.0,522.0,516.01,2.52,70.5
2025-05-07 19:16:44.060995-04:00,44.7,4232.74,503.0,9.83,173.0,506.0,505.09,2.46,70.3
2025-05-07 19:16:47.800355-04:00,44.8,4219.54,509.0,9.95,190.0,451.0,510.73,2.49,70.3
2025-05-07 19:16:51.548820-04:00,44.8,4208.56,493.0,9.64,145.0,521.0,493.76,2.41,70.3
