result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:13:02.888200+00:00,44.5,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:13:06.636794+00:00,44.5,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:13:10.385505+00:00,44.4,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:13:14.130596+00:00,44.3,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:13:17.877913+00:00,44.2,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:13:21.624193+00:00,44.2,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:13:25.372312+00:00,44.1,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:13:29.119253+00:00,44.0,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:13:32.868543+00:00,44.0,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:13:36.612663+00:00,44.0,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
